name,program,email,digital_id,student_no,parent_no,hostel_name,room_no,year,academic_year
Henry,IT,henry2212023@edu.in ,2212023,6385408271,9782268028,Hostel-1,B-70,4,UG2022-26
Arjun,ECE,arjun2214000@edu.in,2214000,9537623303,9648945325,Hostel-1,B-19,2,UG2022-26
Rohan,MECH,rohan2214002@edu.in,2214002,9567388459,9646233880,Hostel-2,B-33,1,UG2022-26
Pranav,BME,pranav2214006@edu.in,2214006,9590718319,9611267257,Hostel-2,B-17,2,UG2022-26
Aryan,CSE,aryan2214008@edu.in,2214008,9571546328,9622528761,Hostel-2,C-95,1,UG2022-26
Ved,EEE,ved2214010@edu.in,2214010,9511461306,9621392252,Hostel-2,A-54,3,UG2022-26
Dhruv,MECH,dhruv2214011@edu.in,2214011,9599373212,9602268028,Hostel-1,C-31,2,UG2022-26
Vivaan,CSE,vivaan2214027@edu.in,2214027,9597614452,9646369843,Hostel-1,B-49,4,UG2022-26
Laksh,CIVIL,laksh2214028@edu.in,2214028,9518187283,9685482447,Hostel-1,C-64,2,UG2022-26
Kabir,CHE,kabir2214030@edu.in,2214030,9595635236,9641132195,Hostel-2,A-37,3,UG2022-26
Ansh,CIVIL,ansh2214031@edu.in,2214031,9504121907,9658488800,Hostel-1,B-16,2,UG2022-26
Rahul,CSE,rahul2214032@edu.in,2214032,9582146709,9648721134,Hostel-2,C-12,1,UG2022-26
Karthik,EEE,karthik2214033@edu.in,2214033,9524671880,9614579236,Hostel-1,A-21,3,UG2022-26
Siddharth,MECH,siddharth2214034@edu.in,2214034,9598034127,9682145098,Hostel-2,B-41,2,UG2022-26
Aditya,ECE,aditya2214035@edu.in,2214035,9519634702,9657742231,Hostel-1,C-58,1,UG2022-26
Nikhil,CSE,nikhil2214036@edu.in,2214036,9576123498,9608432176,Hostel-2,A-63,4,UG2022-26
Harsh,CIVIL,harsh2214037@edu.in,2214037,9537746281,9640027815,Hostel-1,B-72,2,UG2022-26
Manav,BME,manav2214038@edu.in,2214038,9583309164,9627841933,Hostel-2,C-88,1,UG2022-26
Yash,CHE,yash2214039@edu.in,2214039,9564412098,9649982376,Hostel-1,A-46,3,UG2022-26
Aarav,EEE,aarav2214040@edu.in,2214040,9512274689,9619347802,Hostel-2,B-29,2,UG2022-26
Neeraj,MECH,neeraj2214041@edu.in,2214041,9591156743,9680021564,Hostel-1,C-83,4,UG2022-26
Sanjay,CSE,sanjay2214042@edu.in,2214042,9547738190,9643271189,Hostel-2,A-15,1,UG2022-26
Varun,ECE,varun2214043@edu.in,2214043,9576689042,9601198723,Hostel-1,B-38,2,UG2022-26
Ritvik,CIVIL,ritvik2214044@edu.in,2214044,9536681729,9625401198,Hostel-2,C-66,3,UG2022-26
Kunal,CHE,kunal2214045@edu.in,2214045,9584412763,9656638217,Hostel-1,A-92,2,UG2022-26
Omkar,EEE,omkar2214046@edu.in,2214046,9519938462,9610082345,Hostel-2,B-77,4,UG2022-26
Ritesh,MECH,ritesh2214047@edu.in,2214047,9592701148,9647389921,Hostel-1,C-19,1,UG2022-26
Dev,CSE,dev2214048@edu.in,2214048,9560098327,9683174452,Hostel-2,A-51,3,UG2022-26
Shivam,ECE,shivam2214049@edu.in,2214049,9528843017,9602269148,Hostel-1,B-57,2,UG2022-26
Amit,BME,amit2214050@edu.in,2214050,9573312684,9645543189,Hostel-2,C-24,1,UG2022-26
Piyush,CIVIL,piyush2214051@edu.in,2214051,9546619028,9629187740,Hostel-1,A-68,4,UG2022-26
